Package,LibPath,Version,Priority,Built
gclus,/Users/amanda/Library/R/3.3/library,1.3.1,NA,3.3.3
gdata,/Users/amanda/Library/R/3.3/library,2.18.0,NA,3.3.3
geosphere,/Users/amanda/Library/R/3.3/library,1.5-7,NA,3.3.2
GGally,/Users/amanda/Library/R/3.3/library,1.3.2,NA,3.3.2
ggforce,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.2
ggjoy,/Users/amanda/Library/R/3.3/library,0.4.0,NA,3.3.2
ggmap,/Users/amanda/Library/R/3.3/library,2.7,NA,3.3.3
ggplot2,/Users/amanda/Library/R/3.3/library,2.2.0,NA,3.3.3
ggraph,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.2
ggrepel,/Users/amanda/Library/R/3.3/library,0.7.0,NA,3.3.2
ggridges,/Users/amanda/Library/R/3.3/library,0.4.1,NA,3.3.2
ggthemes,/Users/amanda/Library/R/3.3/library,3.4.0,NA,3.3.3
ggvis,/Users/amanda/Library/R/3.3/library,0.4.3,NA,3.3.3
gh,/Users/amanda/Library/R/3.3/library,1.0.1,NA,3.3.3
git2r,/Users/amanda/Library/R/3.3/library,0.21.0,NA,3.3.2
glue,/Users/amanda/Library/R/3.3/library,1.2.0,NA,3.3.2
gmodels,/Users/amanda/Library/R/3.3/library,2.16.2,NA,3.3.3
googlesheets,/Users/amanda/Library/R/3.3/library,0.2.2,NA,3.3.2
googleVis,/Users/amanda/Library/R/3.3/library,0.6.2,NA,3.3.3
gower,/Users/amanda/Library/R/3.3/library,0.1.2,NA,3.3.2
gplots,/Users/amanda/Library/R/3.3/library,3.0.1,NA,3.3.3
gridBase,/Users/amanda/Library/R/3.3/library,0.4-7,NA,3.3.3
gridExtra,/Users/amanda/Library/R/3.3/library,2.3,NA,3.3.2
gsubfn,/Users/amanda/Library/R/3.3/library,0.6-6,NA,3.3.3
gtable,/Users/amanda/Library/R/3.3/library,0.2.0,NA,3.3.3
gtools,/Users/amanda/Library/R/3.3/library,3.5.0,NA,3.3.3
hash,/Users/amanda/Library/R/3.3/library,2.2.6,NA,3.3.3
haven,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
heatmaply,/Users/amanda/Library/R/3.3/library,0.12.1,NA,3.3.2
here,/Users/amanda/Library/R/3.3/library,0.1,NA,3.3.2
hexbin,/Users/amanda/Library/R/3.3/library,1.27.1,NA,3.3.0
highcharter,/Users/amanda/Library/R/3.3/library,0.5.0,NA,3.3.2
highlite,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
highr,/Users/amanda/Library/R/3.3/library,0.6,NA,3.3.3
Hmisc,/Users/amanda/Library/R/3.3/library,4.1-1,NA,3.3.2
hms,/Users/amanda/Library/R/3.3/library,0.3,NA,3.3.3
htmlTable,/Users/amanda/Library/R/3.3/library,1.11.1,NA,3.3.2
htmltools,/Users/amanda/Library/R/3.3/library,0.3.6,NA,3.3.3
htmlwidgets,/Users/amanda/Library/R/3.3/library,1.0,NA,3.3.3
httpuv,/Users/amanda/Library/R/3.3/library,1.3.5.9000,NA,3.3.3
httr,/Users/amanda/Library/R/3.3/library,1.3.1,NA,3.3.2
hunspell,/Users/amanda/Library/R/3.3/library,2.9,NA,3.3.2
igraph,/Users/amanda/Library/R/3.3/library,1.1.2,NA,3.3.2
influenceR,/Users/amanda/Library/R/3.3/library,0.1.0,NA,3.3.3
ini,/Users/amanda/Library/R/3.3/library,0.3.0,NA,3.3.2
ipred,/Users/amanda/Library/R/3.3/library,0.9-6,NA,3.3.2
IRdisplay,/Users/amanda/Library/R/3.3/library,0.4.4,NA,3.3.3
IRkernel,/Users/amanda/Library/R/3.3/library,0.8.7.9000,NA,3.3.3
irlba,/Users/amanda/Library/R/3.3/library,2.3.1,NA,3.3.2
ISOcodes,/Users/amanda/Library/R/3.3/library,2017.09.27,NA,3.3.2
iterators,/Users/amanda/Library/R/3.3/library,1.0.9,NA,3.3.2
janeaustenr,/Users/amanda/Library/R/3.3/library,0.1.5,NA,3.3.2
janitor,/Users/amanda/Library/R/3.3/library,0.3.0,NA,3.3.2
jpeg,/Users/amanda/Library/R/3.3/library,0.1-8,NA,3.3.0
jsonlite,/Users/amanda/Library/R/3.3/library,1.5,NA,3.3.3
kableExtra,/Users/amanda/Library/R/3.3/library,0.6.1,NA,3.3.2
kandinsky,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
keras,/Users/amanda/Library/R/3.3/library,2.0.8,NA,3.3.2
kernlab,/Users/amanda/Library/R/3.3/library,0.9-25,NA,3.3.0
keyringr,/Users/amanda/Library/R/3.3/library,0.4.0,NA,3.3.2
knitr,/Users/amanda/Library/R/3.3/library,1.18,NA,3.3.2
labeling,/Users/amanda/Library/R/3.3/library,0.3,NA,3.3.3
later,/Users/amanda/Library/R/3.3/library,0.5,NA,3.3.2
lattice,/Users/amanda/Library/R/3.3/library,0.20-35,recommended,3.3.3
latticeExtra,/Users/amanda/Library/R/3.3/library,0.6-28,NA,3.3.3
lava,/Users/amanda/Library/R/3.3/library,1.5.1,NA,3.3.2
lazyeval,/Users/amanda/Library/R/3.3/library,0.2.1,NA,3.3.2
lintr,/Users/amanda/Library/R/3.3/library,1.0.1.9000,NA,3.3.3
lme4,/Users/amanda/Library/R/3.3/library,1.1-14,NA,3.3.2
lmtest,/Users/amanda/Library/R/3.3/library,0.9-35,NA,3.3.2
lookup,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
lpSolveAPI,/Users/amanda/Library/R/3.3/library,5.5.2.0-17,NA,3.3.0
lubridate,/Users/amanda/Library/R/3.3/library,1.7.1,NA,3.3.2
magrittr,/Users/amanda/Library/R/3.3/library,1.5,NA,3.3.3
mapproj,/Users/amanda/Library/R/3.3/library,1.2-5,NA,3.3.2
maps,/Users/amanda/Library/R/3.3/library,3.2.0,NA,3.3.2
markdown,/Users/amanda/Library/R/3.3/library,0.8,NA,3.3.3
MASS,/Users/amanda/Library/R/3.3/library,7.3-47,recommended,3.3.3
Matrix,/Users/amanda/Library/R/3.3/library,1.2-11,recommended,3.3.2
MatrixModels,/Users/amanda/Library/R/3.3/library,0.4-1,NA,3.3.3
mclust,/Users/amanda/Library/R/3.3/library,5.3,NA,3.3.2
memoise,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
mgcv,/Users/amanda/Library/R/3.3/library,1.8-22,recommended,3.3.2
mime,/Users/amanda/Library/R/3.3/library,0.5,NA,3.3.3
miniUI,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.0
misc3d,/Users/amanda/Library/R/3.3/library,0.8-4,NA,3.3.3
ModelMetrics,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
modelr,/Users/amanda/Library/R/3.3/library,0.1.1,NA,3.3.3
modeltools,/Users/amanda/Library/R/3.3/library,0.2-21,NA,3.3.3
multcomp,/Users/amanda/Library/R/3.3/library,1.4-7,NA,3.3.2
munsell,/Users/amanda/Library/R/3.3/library,0.4.3,NA,3.3.3
mvtnorm,/Users/amanda/Library/R/3.3/library,1.0-6,NA,3.3.2
naivebayes,/Users/amanda/Library/R/3.3/library,0.9.1,NA,3.3.2
NbClust,/Users/amanda/Library/R/3.3/library,3.0,NA,3.3.3
neuralnet,/Users/amanda/Library/R/3.3/library,1.33,NA,3.3.3
NeuralNetTools,/Users/amanda/Library/R/3.3/library,1.5.0,NA,3.3.2
